SIZE,DURATION,MODE,TIME
1010,10,CPU,0.6039988994598389
1510,10,CPU,1.3479969501495361
1510,10,CPU,1.3500001430511475
1510,10,CPU,1.3440017700195312
1510,10,CPU,1.3480005264282227
1510,10,CPU,1.344998836517334
1510,10,CPU,1.3499994277954102
1510,10,CPU,1.3469998836517334
1510,10,CPU,1.3590006828308105
1510,10,CPU,1.345999002456665
1510,10,CPU,1.3469996452331543
2010,10,CPU,2.3849992752075195
2010,10,CPU,2.399998426437378
2010,10,CPU,2.3840017318725586
2010,10,CPU,2.382998466491699
2010,10,CPU,2.4139997959136963
2010,10,CPU,2.4049994945526123
2010,10,CPU,2.3809990882873535
2010,10,CPU,2.411012649536133
2010,10,CPU,2.3810012340545654
2010,10,CPU,2.3939990997314453
2510,10,CPU,3.7280006408691406
2510,10,CPU,3.703998327255249
2510,10,CPU,3.7340028285980225
2510,10,CPU,3.7000081539154053
2510,10,CPU,3.7150001525878906
2510,10,CPU,3.7020018100738525
2510,10,CPU,3.731515884399414
2510,10,CPU,3.7179994583129883
2510,10,CPU,3.763000249862671
2510,10,CPU,3.7100131511688232
