SIZE,DURATION,MODE,TIME,MIN,MAX,N
60,4060,CPU,0.8310999870300293,0.8209989070892334,0.8450024127960205,10
60,4110,CPU,0.8351997852325439,0.8309991359710693,0.8430001735687256,10
60,4160,CPU,0.8515999794006348,0.8409984111785889,0.8689999580383301,10
60,4210,CPU,0.8594000101089477,0.8519999980926514,0.8759994506835938,10
60,4260,CPU,0.8714998960494995,0.8630003929138184,0.881000280380249,10
60,4310,CPU,0.8793001890182495,0.8709988594055176,0.890000581741333,10
60,4360,CPU,0.885200047492981,0.881000280380249,0.8940024375915527,10
60,4410,CPU,0.8988999128341675,0.8919961452484131,0.9070010185241699,10
60,4460,CPU,0.9083013296127319,0.9000122547149658,0.9229998588562012,10
60,4510,CPU,0.9169999122619629,0.9110000133514404,0.9259982109069824,10
60,4560,CPU,0.9254999876022338,0.9210000038146973,0.934999942779541,10
60,4610,CPU,0.9346029996871948,0.9310016632080078,0.9380292892456055,10
60,4660,CPU,0.9465999603271484,0.9399995803833008,0.9540002346038818,10
60,4710,CPU,0.9558038711547852,0.9509243965148926,0.9639995098114014,10
60,4760,CPU,0.9656000852584838,0.9610011577606201,0.974999189376831,10
60,4810,CPU,0.9729997158050537,0.9709999561309814,0.9759981632232666,10
60,4860,CPU,0.9874001264572143,0.9810006618499756,0.9960043430328369,10
60,4910,CPU,1.0001011133193969,0.9919993877410889,1.0179994106292725,10
60,4960,CPU,1.009199857711792,1.0009973049163818,1.0340008735656738,10
60,5010,CPU,1.0242000818252563,1.0189998149871826,1.035001516342163,10
60,5060,CPU,1.0276000499725342,1.0219955444335938,1.0399999618530273,10
60,5110,CPU,1.0357009410858153,1.031001329421997,1.0440003871917725,10
60,5160,CPU,1.0446001052856446,1.041999101638794,1.0549981594085693,10
60,5210,CPU,1.0559008598327637,1.0500011444091797,1.0640106201171875,10
60,5260,CPU,1.0649014472961427,1.061997890472412,1.0770001411437988,10
60,5310,CPU,1.0764998912811279,1.072000503540039,1.0849988460540771,10
60,5360,CPU,1.0914000749588013,1.083000659942627,1.1030018329620361,10
60,5410,CPU,1.1021001577377318,1.0919983386993408,1.1309986114501953,10
60,5460,CPU,1.107499861717224,1.100999116897583,1.1219995021820068,10
60,5510,CPU,1.1174999237060548,1.1110012531280518,1.126997709274292,10
60,5560,CPU,1.1251000881195068,1.1210007667541504,1.1340007781982422,10
60,5610,CPU,1.1352006673812867,1.1300010681152344,1.1450080871582031,10
60,5660,CPU,1.1447009086608886,1.141998529434204,1.1510014533996582,10
60,5710,CPU,1.1563002109527587,1.151001214981079,1.1640005111694336,10
60,5760,CPU,1.1675012111663818,1.160998821258545,1.1780006885528564,10
60,5810,CPU,1.1757014989852905,1.17099928855896,1.188000202178955,10
60,5860,CPU,1.1857009172439574,1.1809990406036377,1.1979994773864746,10
60,5910,CPU,1.194401168823242,1.1909985542297363,1.200000524520874,10
60,5960,CPU,1.2080002546310424,1.2010009288787842,1.2180004119873047,10
60,6010,CPU,1.2181007146835328,1.2110013961791992,1.2280004024505615,10
60,6060,CPU,1.225900936126709,1.2210004329681396,1.2350084781646729,10
60,6110,CPU,1.2363243103027344,1.2310004234313965,1.248997688293457,10
60,6160,CPU,1.244301199913025,1.2409989833831787,1.2519991397857666,10
60,6210,CPU,1.2550000190734862,1.2510004043579102,1.2669997215270996,10
60,6260,CPU,1.265101385116577,1.2610130310058594,1.2730000019073486,10
60,6310,CPU,1.2745009422302247,1.2709991931915283,1.2870025634765625,10
60,6360,CPU,1.2852517366409302,1.2810001373291016,1.2920000553131104,10
60,6410,CPU,1.302400040626526,1.2900018692016602,1.3299989700317383,10
60,6460,CPU,1.3143999814987182,1.3010001182556152,1.3279988765716553,10
60,6510,CPU,1.318400239944458,1.3109996318817139,1.3280003070831299,10
60,6560,CPU,1.3436000347137451,1.3209996223449707,1.3590021133422852,10
60,6610,CPU,1.3489999771118164,1.3369994163513184,1.3719985485076904,10
60,6660,CPU,1.352100133895874,1.345996618270874,1.3610000610351562,10
60,6710,CPU,1.3598001956939698,1.350001573562622,1.3750011920928955,10
60,6760,CPU,1.3707000017166138,1.3619987964630127,1.3859996795654297,10
60,6810,CPU,1.3840999841690063,1.3720009326934814,1.3939990997314453,10
60,6860,CPU,1.399299931526184,1.3819985389709473,1.4500036239624023,10
60,6910,CPU,1.411799955368042,1.3950018882751465,1.4360008239746094,10
60,6960,CPU,1.420700192451477,1.4020020961761475,1.4449996948242188,10
60,7010,CPU,1.4223998308181762,1.412998914718628,1.4429998397827148,10
60,7060,CPU,1.4243000268936157,1.4200007915496826,1.4329993724822998,10
60,7110,CPU,1.4412008762359618,1.4330008029937744,1.4620003700256348,10
60,7160,CPU,1.4610008478164673,1.4420020580291748,1.4999980926513672,10
60,7210,CPU,1.4658000230789185,1.4509987831115723,1.4880006313323975,10
